ID,Total Rewards ON Testnet,Total Mined Blocks,Cumulative Mined,Sqrt Mined Blocks,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzmZkaiQKnfSAPkn8dekCFWisHtCCuZTYWaZmUD87t126ehLW,920007204315551,97.00,"327,129",10,"3,110",0.32%,0.00,,
qzjfz14hQTAcv4ErDgKuhYbUdXGqvN5gYCARwvA5hKQzM4nJZ,930003002492606,95.00,"327,224",10,"3,120",0.32%,0.00,,
qzmB2SKjunKRcQzYzecf4xbFjRHWpc6euWBj6qVCqMi1quEPm,790001501344304,80.00,"327,304",9,"3,129",0.29%,0.00,,
qzkgaH2uFc9n1ZMHGZ2NxELBeJxp62tktsnX2s6LDZxjtSiSC,750000000000000,75.00,"327,379",9,"3,138",0.28%,0.00,,
qzpsMcVZLViR2Zr3RywU6wPPQrz5CU2R92buHNatuaqyMRran,650000000000000,65.00,"327,444",8,"3,146",0.26%,0.00,,
qzpkgwF83WrNb2rM7WXUTG6V5SZLGUzN4QLVXi2dDcuuBsxYU,600001501344303,61.00,"327,505",8,"3,153",0.25%,0.00,,
qzmRxHJSv5v8U9AjhcKQw6snjmLY2ZaJ5Bxr72iYYXWi1xT9e,510000000000000,51.00,"327,556",7,"3,161",0.23%,0.00,,
qzjvS5v1YYZ18f3SfeMrjMBUJgRTn48fzcLdPst94J4Q2J7hz,490000000000000,49.00,"327,605",7,"3,168",0.23%,0.00,,
qzjWn2JcqBs4ttYWrtmZFS4jpkXgfa876TRrA1uscyU6YeLwT,450001501344302,46.00,"327,651",7,"3,174",0.22%,0.00,,
qzmimGidKhhszaVeVhnNufcKQQU1QTieya1AzL8xSMHNAY7G4,380000000000000,38.00,"327,689",6,"3,181",0.20%,0.00,,
qzmrdGsRW6WpEr8iHgdhxcYo7FvPrU9mH9WJf8qZ2VUZHDYHJ,370000000000000,37.00,"327,726",6,"3,187",0.20%,0.00,,
qzniXds4ZVN66LfKrrqQmrNLe2S8UraqiwiF1F5x7CykpeLFy,320000000000000,32.00,"327,758",6,"3,192",0.18%,0.00,,
qzo7xakq5DVCNdUTudPgAR71W1onYSjQuStoNJnKev6FwxT1L,320000000000000,32.00,"327,790",6,"3,198",0.18%,0.00,,
qzka5PoygCZ6U8XH71hnGi3sUeqZya3BvJUALbAT3zSKoykiz,320000000000000,32.00,"327,822",6,"3,204",0.18%,0.00,,
qznhaQE7tJZtrMhAKWXbzrRnskfakNBNYgVoMVYc8mNkHCSMk,280000000000000,28.00,"327,850",5,"3,209",0.17%,0.00,,
qzpAK583igoJbAFGjVKMF2GW8piywbkQDSDYXbZ2mnmjj1WPs,210000000000000,21.00,"327,871",5,"3,213",0.15%,0.00,,
qzn6iLjTGrSwHsafAK7pRdcLnz3FR9nivW6sz2D9BscxMnpok,190000000000000,19.00,"327,890",4,"3,218",0.14%,0.00,,
qzkZytUkY41CCJ38epkZ8ekAvbqrqibLTWxWy7FHAMvJTB9Ei,190000000000000,19.00,"327,909",4,"3,222",0.14%,0.00,,
qzoBUt2hhkYTv4q5kwWApstheRqrDxfuzZpgte9W6L4h4GpmL,160000000000000,16.00,"327,925",4,"3,226",0.13%,0.00,,
qzoz5SYKo5BJbeQSNqWHEiNJ23XTs5qNqxVyC8Ua4tx56F7Rn,110001501246303,12.00,"327,937",3,"3,230",0.11%,0.00,,
qznQ7MPYioe2ohtPN6EWpKa89UAt8bZ8SHwjyAMe51SCXZK4n,120000000000000,12.00,"327,949",3,"3,233",0.11%,0.00,,
qzoXUT2nF4kRShWquywxay57SQwMr9n78aUn2j8Eg1NeW3rDe,70008748659826,11.00,"327,960",3,"3,236",0.11%,0.00,,
qzmqfu2zk1ef6GeFnS8aNHvYuFhi62YXXt86nunYNxj433pv1,90001350239321,10.00,"327,970",3,"3,240",0.10%,0.00,,
qznwx81CwCNomZy8jC8M95kfEtxCv9oosUhmD2BbyLKMCspN5,90000000000000,9.00,"327,979",3,"3,243",0.10%,0.00,,
qzo6KH3v6tujBYcmZ39PfEzA8Q2qX1j9r4u5b5L7yse7k7pJs,90000000000000,9.00,"327,988",3,"3,246",0.10%,0.00,,
qzmBAHgFaqHMCrSEPtJg7PcnvAjjyZmcCzPfTuQJqTKSsgETp,70001501246303,8.00,"327,996",3,"3,248",0.09%,0.00,,
qzng3GPNkC9aq7qQhBKNEAnjdtq6QWQDVpRmXvbkU6eRyhT3Z,50004244724919,7.00,"328,003",3,"3,251",0.09%,0.00,,
qzk4s4DdWzQMjaYg2p1cAtjPJxQQW1cWKFXjo1rae4xWR2pfd,70000000000000,7.00,"328,010",3,"3,254",0.09%,0.00,,
qzjjifC2KMrYMFVjUoAwjvURRNoudZFMD9XCbfRvGeyK5dDiH,50000000000000,5.00,"328,015",2,"3,256",0.07%,0.00,,
qzp5d9h4Cjv6kBFQ5HXnHXVqSCVceMpXkp1E1qvRayo344Yi4,50000000000000,5.00,"328,020",2,"3,258",0.07%,,,
qzjh6EaaA3PEQZF6HRmLrxQRDA4FDJweP5wYEYTQjWx7rWN5v,50000000000000,5.00,"328,025",2,"3,260",0.07%,,,
qzpzyGesbhY7G5n1pXq1mhSc1qs5K23oBLzHST4U85zPw9P7N,50000000000000,5.00,"328,030",2,"3,263",0.07%,,,
qzmBB9bheoaW5AkruaEhVSPRAgxnu9Wfq4FwFGnJnTLHt9a7b,50000000000000,5.00,"328,035",2,"3,265",0.07%,,,
qzo7wGwtVYVeZ9LEgiA94gH3JbWfgr1ZqDQdEuoR9iN9k3vm7,50000000000000,5.00,"328,040",2,"3,267",0.07%,,,
qznKMfamaZcnqumUWYyRaNSCWkryPk1GMC5NtTrzwqwAwa7cZ,40000000000000,4.00,"328,044",2,"3,269",0.07%,,,
qzm21sP93FbrYCtTp1LrQDfs6quxBebPg495AZKa1ZRRfnszh,40000000000000,4.00,"328,048",2,"3,271",0.07%,,,
qzoEVkv7YwtA1FfqgTVi3shAeXwF4bCZm6jxYMkvjjDjhsG2y,30000000000000,3.00,"328,051",2,"3,273",0.06%,,,
qzmrw5DXoBE6LBvXGRRTdAHobGBTXGjitLw6wCXEuQE8a3fgi,30000000000000,3.00,"328,054",2,"3,275",0.06%,,,
qzpAb6dsFo2UXREMEvFL3ZLFmi5WoeJEq28m3HDVwsfBrzviR,30000000000000,3.00,"328,057",2,"3,276",0.06%,,,
qzpj4w2G2jmVGTb5UuiZ6TVvJtaQpJsbQ14o4AEUHt6vjJrQo,20000000000000,2.00,"328,059",1,"3,278",0.05%,,,
qzm84pWDU2AtnVTHpVDC7mD2qTRxC3Q1zYuYDEEHTyW1sjjSF,20000000000000,2.00,"328,061",1,"3,279",0.05%,,,
qzq3VLu6DHcWDtWRAqWXtTkDMPqz4BdJNvy3e7SYaqhZX49PQ,20000000000000,2.00,"328,063",1,"3,281",0.05%,,,
qzmGYbF9Qm3yykU1MR3nXQDyhHaS8SnXwk8Fd2y8UkM2aWTbG,10000000000000,1.00,"328,064",1,"3,282",0.03%,,,
qzjWXQK7tV1zVxW3XaKNsK5HdJUteLXZuGC2o3i2X3kVJ2zqJ,10000000000000,1.00,"328,065",1,"3,283",0.03%,,,
qzpXEJTTtSvWMqKVLhfwVXW9qkXEftZBdzz92hf5QnxVvtqV1,10000000000000,1.00,"328,066",1,"3,284",0.03%,,,
qzpjuAv3XbYjiW8Lw6RjxCFwkZzypr5TaMLvkQfuNVEigTAns,10000000000000,1.00,"328,067",1,"3,285",0.03%,,,
,,"328,067.00",,573,"3,857",,,,
