ID,Total Testnet Rewards,Total Mined Blocks,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzk8taXT3PPJJp87M4PbrMJa8vQG53QqShrFiJuiriJRgcwC3,2240000000000000,224,"217,914",14.97,"2,710.94",0.60%,0.00,,
qzpg4T1Y37paXvNCYbvTsEEkkbnyX5KCujFfXo8hbgYT9arP7,2220000000000000,222,"218,136",14.90,"2,725.84",0.60%,0.00,,
qzpnWUo1sYJsFV8tUjDAQ3und34XWAEVsgHnEvCXT9ZaQrpZu,2150010667250307,216,"218,352",14.70,"2,740.53",0.59%,0.00,,
qzojGPxE7TPsyJztr5iQUA42CD6VrC3uyusj9K9xbH19br15z,2100010667250309,211,"218,563",14.53,"2,755.06",0.58%,0.00,,
qzn57cH4DSFgeny98Mwgvt6N2oyniAbEA6nwG5XZj3nPh7rTc,1660000000000000,166,"218,729",12.88,"2,767.94",0.52%,0.00,,
qzk1d27R76qRMJk4tHQHqaAsgww52MQapV7qXHMHTGJ8MJ5wy,1640000000000000,164,"218,893",12.81,"2,780.75",0.52%,0.00,,
qzmaFUXhmE43YGCAZKLbC885GXmsVnbpRxT1174emvW4ujsha,1490000000000000,149,"219,042",12.21,"2,792.95",0.49%,0.00,,
qzoDtmBWVbdyuMJp8ejuR855r5V6CokcfG1TmemAzsyEeZvnP,1380042669001236,142,"219,184",11.92,"2,804.87",0.48%,0.00,,
qzpCkSFyjAXdHdRAUbRoPHKeFiG9srSewsceic1KwiBaQQZ9p,1410000000000000,141,"219,325",11.87,"2,816.75",0.48%,0.00,,
qznvJC3UaskjTDgb5PxxofDaYmYVJA661tDwuAPQiFGNg1KPw,1310000000000000,131,"219,456",11.45,"2,828.19",0.46%,0.00,,
qzpwjY2CW8HSHW2bD2bnoCFTg3Ce1vfNE8SZBnauSD2zVr1jn,1270000000000000,127,"219,583",11.27,"2,839.46",0.45%,0.00,,
