Address,Total Rewards,Blocks mined,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzmzQ3fZJPtj2fCkTFk1rGCtL4RWfiMVhvMg19yPfGiL7THC5,,131,"954,989",11.45,"8,293.03",0.14%,0.00,,
qznCWPicHavhx5RV2R79EcHDio9y2baWjYYN4pKYQgiWJQHSx,,131,"955,120",11.45,"8,304.47",0.14%,0.00,,
qznf6AqnX41rbUcAZw37gAma4KT3SzXRQ479xn66QWmfMX4jM,,116,"955,236",10.77,"8,315.24",0.13%,0.00,,
qzkcVJYgPhRofvmx8j5G3Ao8xGibn5uTxK9HJBL432a2VEeM6,,99,"955,335",9.95,"8,325.19",0.12%,0.00,,
qzp5rk1EYR4nXXmgXVSZC21jxmrKUkezpuFCvJq2YBaJMmEA7,,95,"955,430",9.75,"8,334.94",0.12%,0.00,,
qzpjRZgATwh8YX8RNGdVxkEJH3HbP6uANBfDzv16emghLNc1d,,89,"955,519",9.43,"8,344.38",0.12%,0.00,,
qzpyGFtvdwb6PEX8engvx6a1Fr34ynJ95mRCk79A7rMhEbsYd,,83,"955,602",9.11,"8,353.49",0.11%,0.00,,
qzmeLpn3zpnr6qByEkezHTxkWbfzHyUazFgXnMzzgWxc1mW1d,,82,"955,684",9.06,"8,362.54",0.11%,0.00,,
qzoQkwWyRKdPCDrkXnMVvfaJhFd8swnhHeejXwSrkrz4SF2FT,,79,"955,763",8.89,"8,371.43",0.11%,0.00,,
qzkdFgYDxFuA4e7CWCn6UAG51ZqPwbZgRLFGmTHMtr49hrqCf,,72,"955,835",8.49,"8,379.91",0.11%,0.00,,
qzmNdACGAF8juNpKwpeVx9kw6PNVX73m7g7RveLouoeDQ9MDp,,71,"955,906",8.43,"8,388.34",0.11%,0.00,,
qzokw2pZLzagChLZ4AzXQ8URmLSSTKGUpAcFsjg8sCQiAeBcv,,69,"955,975",8.31,"8,396.65",0.10%,0.00,,
qzoDZEJoJremk9FdshfPfquRkex7KGSdS62mrCMVqkzFPAkcf,,68,"956,043",8.25,"8,404.89",0.10%,0.00,,
qzpayjBTErGZbhQ3D5YUcyCP1PVwUSiWFRdyXjr1dT3sysCDo,,62,"956,105",7.87,"8,412.77",0.10%,0.00,,
qznL9CQFbtCn54m6QQQxNPsf2qsAGJCe6AtKwZ6rUWkLjxJVA,,61,"956,166",7.81,"8,420.58",0.10%,0.00,,
qzox4ZXRpoVt4CNbewQ6aRUApLuqxtAsNNxVeZFM8hJSL4kbN,,56,"956,222",7.48,"8,428.06",0.09%,0.00,,
